ISP (UTC),Imbalance+ [EUR/MWh],Imbalance- [EUR/MWh],Total Imbalance [MWh]
01.01.2019 00:00 - 01.01.2019 00:30,42.22,46.66,201
01.01.2019 00:30 - 01.01.2019 01:00,41.26,45.6,208
01.01.2019 01:00 - 01.01.2019 01:30,39.97,44.17,128
01.01.2019 01:30 - 01.01.2019 02:00,38.2,42.22,510
01.01.2019 02:00 - 01.01.2019 02:30,15.9,17.58,316
01.01.2019 02:30 - 01.01.2019 03:00,15.83,17.49,631
01.01.2019 03:00 - 01.01.2019 03:30,14.23,15.73,743
01.01.2019 03:30 - 01.01.2019 04:00,8.84,9.77,347
01.01.2019 04:00 - 01.01.2019 04:30,5.34,5.9,674
01.01.2019 04:30 - 01.01.2019 05:00,9.68,10.7,903
01.01.2019 05:00 - 01.01.2019 05:30,4.14,4.58,778
01.01.2019 05:30 - 01.01.2019 06:00,2.34,2.58,851
01.01.2019 06:00 - 01.01.2019 06:30,6.47,7.15,993
01.01.2019 06:30 - 01.01.2019 07:00,8.01,8.85,1155
01.01.2019 07:00 - 01.01.2019 07:30,5.41,5.97,681
01.01.2019 07:30 - 01.01.2019 08:00,3.89,4.29,899
01.01.2019 08:00 - 01.01.2019 08:30,3.34,3.7,363
01.01.2019 08:30 - 01.01.2019 09:00,3.44,3.8,506
01.01.2019 09:00 - 01.01.2019 09:30,3.71,4.1,732
01.01.2019 09:30 - 01.01.2019 10:00,2.27,2.51,415
01.01.2019 10:00 - 01.01.2019 10:30,4.58,5.06,190
01.01.2019 10:30 - 01.01.2019 11:00,46.91,51.85,86
01.01.2019 11:00 - 01.01.2019 11:30,52.44,57.96,580
01.01.2019 11:30 - 01.01.2019 12:00,54.64,60.4,1014
01.01.2019 12:00 - 01.01.2019 12:30,55.52,61.36,394
01.01.2019 12:30 - 01.01.2019 13:00,50.64,55.97,3
01.01.2019 13:00 - 01.01.2019 13:30,52.54,58.07,588
01.01.2019 13:30 - 01.01.2019 14:00,36.05,39.85,11
01.01.2019 14:00 - 01.01.2019 14:30,36.06,39.86,119
01.01.2019 14:30 - 01.01.2019 15:00,40.61,44.89,96
01.01.2019 15:00 - 01.01.2019 15:30,38.89,42.99,144
01.01.2019 15:30 - 01.01.2019 16:00,37.74,41.72,162
01.01.2019 16:00 - 01.01.2019 16:30,51.73,57.17,227
01.01.2019 16:30 - 01.01.2019 17:00,53.41,59.03,695
01.01.2019 17:00 - 01.01.2019 17:30,51.15,56.53,336
01.01.2019 17:30 - 01.01.2019 18:00,40.49,44.75,52
01.01.2019 18:00 - 01.01.2019 18:30,62.28,68.84,194
01.01.2019 18:30 - 01.01.2019 19:00,55.67,61.53,179
01.01.2019 19:00 - 01.01.2019 19:30,53.2,58.8,206
01.01.2019 19:30 - 01.01.2019 20:00,45.13,49.88,405
01.01.2019 20:00 - 01.01.2019 20:30,45.51,50.3,444
01.01.2019 20:30 - 01.01.2019 21:00,49.01,54.17,596
01.01.2019 21:00 - 01.01.2019 21:30,50.9,56.26,637
01.01.2019 21:30 - 01.01.2019 22:00,55.72,61.58,21
01.01.2019 22:00 - 01.01.2019 22:30,52.31,57.81,706
01.01.2019 22:30 - 01.01.2019 23:00,46.81,51.73,655
01.01.2019 23:00 - 01.01.2019 23:30,43.72,48.32,336
01.01.2019 23:30 - 02.01.2019 00:00,40.01,44.23,1237
02.01.2019 00:00 - 02.01.2019 00:30,27.64,30.54,617
02.01.2019 00:30 - 02.01.2019 01:00,29.27,32.35,832
02.01.2019 01:00 - 02.01.2019 01:30,24.52,27.1,635
02.01.2019 01:30 - 02.01.2019 02:00,23.13,25.57,869
02.01.2019 02:00 - 02.01.2019 02:30,16.36,18.08,629
02.01.2019 02:30 - 02.01.2019 03:00,15.68,17.33,726
02.01.2019 03:00 - 02.01.2019 03:30,15.81,17.47,714
02.01.2019 03:30 - 02.01.2019 04:00,14.65,16.19,603
02.01.2019 04:00 - 02.01.2019 04:30,15.01,16.59,158
02.01.2019 04:30 - 02.01.2019 05:00,27.61,30.51,335
02.01.2019 05:00 - 02.01.2019 05:30,49.31,54.5,194
02.01.2019 05:30 - 02.01.2019 06:00,51.67,57.11,354
02.01.2019 06:00 - 02.01.2019 06:30,53.34,58.96,429
02.01.2019 06:30 - 02.01.2019 07:00,53.88,59.56,298
02.01.2019 07:00 - 02.01.2019 07:30,53.38,59,653
02.01.2019 07:30 - 02.01.2019 08:00,53.23,58.83,582
02.01.2019 08:00 - 02.01.2019 08:30,53.32,58.94,52
02.01.2019 08:30 - 02.01.2019 09:00,54.57,60.31,246
02.01.2019 09:00 - 02.01.2019 09:30,58.04,64.14,420
02.01.2019 09:30 - 02.01.2019 10:00,58.04,64.14,250
02.01.2019 10:00 - 02.01.2019 10:30,60.45,66.81,140
02.01.2019 10:30 - 02.01.2019 11:00,60.45,66.81,89
02.01.2019 11:00 - 02.01.2019 11:30,59.66,65.94,135
02.01.2019 11:30 - 02.01.2019 12:00,66.61,73.63,758
02.01.2019 12:00 - 02.01.2019 12:30,65.42,72.3,673
02.01.2019 12:30 - 02.01.2019 13:00,66.94,73.98,459
02.01.2019 13:00 - 02.01.2019 13:30,57.07,63.07,769
02.01.2019 13:30 - 02.01.2019 14:00,64.1,70.84,253
02.01.2019 14:00 - 02.01.2019 14:30,54.78,60.54,161
02.01.2019 14:30 - 02.01.2019 15:00,36.41,40.25,157
02.01.2019 15:00 - 02.01.2019 15:30,37.57,41.53,74
02.01.2019 15:30 - 02.01.2019 16:00,46.46,51.35,113
02.01.2019 16:00 - 02.01.2019 16:30,59.21,65.45,601
02.01.2019 16:30 - 02.01.2019 17:00,56.08,61.98,125
02.01.2019 17:00 - 02.01.2019 17:30,46.27,51.15,257
02.01.2019 17:30 - 02.01.2019 18:00,51.25,56.65,363
02.01.2019 18:00 - 02.01.2019 18:30,40.38,44.64,142
02.01.2019 18:30 - 02.01.2019 19:00,42.52,47,508
02.01.2019 19:00 - 02.01.2019 19:30,67.21,74.29,259
02.01.2019 19:30 - 02.01.2019 20:00,69.07,76.34,88
02.01.2019 20:00 - 02.01.2019 20:30,63.62,70.32,385
02.01.2019 20:30 - 02.01.2019 21:00,44.31,48.97,36
02.01.2019 21:00 - 02.01.2019 21:30,50.62,55.94,287
02.01.2019 21:30 - 02.01.2019 22:00,67.36,74.45,602
02.01.2019 22:00 - 02.01.2019 22:30,66.13,73.09,369
