Date;Heure;UTC;PRE Positif;PRE Negatif;PMP Hausse;PMP Baisse;PME Hausse;PME Baisse;PMP SSY Hausse;PMP SSY Baisse;PMP Marge Hausse;PMP Marge Baisse;PMA SSY Hausse;PMA SSY Baisse;PMA Marge Hausse;PMA Marge Baisse;PMP mFRR spécifique Hausse;PMP mFRR spécifique Baisse;PMP RR spécifique HaussePMP RR spécifique Baisse
07/01/2021;00:00:00 - 00:30:00;UTC +01:00;69.98;77.34;73.66;84.72;95;77;77;25.82;77;77;0;19.45;0;0;73.52;77;7777
07/01/2021;00:30:00 - 01:00:00;UTC +01:00;73.15;80.85;65.81;77;77;77;77;24.38;77;77;0;19.45;0;0;62.78;77;7777
07/01/2021;01:00:00 - 01:30:00;UTC +01:00;62.56;69.14;65.85;65.85;65.85;65.85;65.85;24.38;65.85;65.85;0;19.45;0;0;65.85;65.85;65.8565.85
07/01/2021;01:30:00 - 02:00:00;UTC +01:00;62.24;68.8;65.52;69.18;69.9;65.85;65.85;22.82;65.85;65.85;0;17.09;0;0;64.13;65.85;65.8565.85
07/01/2021;02:00:00 - 02:30:00;UTC +01:00;60.12;66.44;63.28;63.78;63.78;63.78;63.78;22.82;63.78;63.78;0;17.09;0;0;62.5;63.78;63.7863.78
07/01/2021;02:30:00 - 03:00:00;UTC +01:00;60.4;66.76;63.58;63.78;63.78;63.78;63.78;22.82;63.78;63.78;0;17.09;0;0;62.5;63.78;63.7863.78
07/01/2021;03:00:00 - 03:30:00;UTC +01:00;48.93;54.09;51.51;51.51;51.51;51.51;51.51;22.71;51.51;51.51;0;17.09;0;0;51.51;51.51;51.5151.51
07/01/2021;03:30:00 - 04:00:00;UTC +01:00;51.24;56.64;53.94;60.17;62.3;51.51;51.51;18.9;51.51;51.51;0;8.69;0;0;61.05;51.51;51.5151.51
07/01/2021;04:00:00 - 04:30:00;UTC +01:00;51.47;56.89;54.18;60.6;62.3;49.35;49.35;18.8;49.35;49.35;0;8.69;0;0;61.29;49.35;62.1649.35
07/01/2021;04:30:00 - 05:00:00;UTC +01:00;56.1;62;59.05;57.37;62.3;49.35;49.35;18.8;49.35;49.35;0;8.69;0;0;61.27;49.35;62.1649.35
07/01/2021;05:00:00 - 05:30:00;UTC +01:00;52.85;58.41;63.72;55.63;66;55.63;55.63;19.21;55.63;55.63;0;8.69;0;0;62.16;55.63;64.5455.63
