Name,Bus,Arrival Time,soc_i,Power,Departure Time,soc_f,soh_i
EV24 ,78,0,0.668,5.236363636,11,0.7,0.794077665
EV26 ,100,0,0.668,5.236363636,11,0.7,0.609754621
EV27 ,106,0,0.669,5.58,10,0.7,0.773528071
EV28 ,112,1,0.6,4.186046512,44,0.7,0.749640477
EV32 ,135,4,0.58,3.323076923,60,0.661111111,0.875040511
EV38 ,148,0,0.686648649,0.184864865,60,0.427777778,0.735645858
EV39 ,151,4,0.68,1.8,24,0.7,0.638905201
EV40 ,152,3,0.662,3.257142857,24,0.7,0.661524393
EV41 ,158,5,0.68,4.5,13,0.7,0.742787238
EV42 ,160,19,0.67,5.4,29,0.7,0.697266303
EV43 ,161,19,0.65,0.454545455,60,0.3,0.816506305
EV44 ,162,45,0.68,0.272727273,60,0.3,0.785998585
EV45 ,168,54,0.68,0.654545455,60,0.505555556,0.609253145
EV46 ,169,0,0.690909091,0.065454545,60,0.3,0.609902619
EV47 ,177,0,0.676315789,0.094736842,60,0.3,0.852986216
EV48 ,187,0,0.698490566,0.016981132,60,0.311111111,0.785606964
EV49 ,188,0,0.691284404,0.082568807,60,0.3,0.871569626
EV50 ,199,0,0.698490566,0.016981132,60,0.311111111,0.672903421
EV51 ,201,0,0.693300971,0.087378641,60,0.396666667,0.850401363
EV52 ,202,0,0.695652174,0.031304348,60,0.3,0.879104363
EV53 ,203,0,0.69076,0.04752,60,0.3,0.83307304
EV54 ,204,0,0.693321429,0.054642857,60,0.3,0.742078376
EV55 ,205,0,0.635714286,0.964285714,60,0.466666667,0.752887674
EV18 ,57,0,0.666,5.563636364,11,0.7,0.632781472
EV20 ,59,0,0.663,5.55,12,0.7,0.76823963
EV22 ,63,1,0.666,5.563636364,12,0.7,0.817393591
EV23 ,66,0,0.683878788,0.414545455,60,0.661111111,0.670158468
EV25 ,93,14,0.685,1.588235294,31,0.7,0.707055511
EV29 ,115,19,0.68,3,31,0.7,0.812656182
EV30 ,116,41,0.6,0.584415584,60,0.3,0.664125209
EV31 ,134,52,0.64,0.306818182,60,0.3,0.852617543
EV33 ,139,0,0.695254237,0.030508475,60,0.3,0.747578029
EV34 ,140,0,0.695708738,0.059417476,60,0.427777778,0.895415798
EV35 ,141,0,0.695471698,0.050943396,60,0.311111111,0.871409101
EV36 ,144,0,0.697164179,0.026865672,60,0.3,0.815162257
EV37 ,146,0,0.694090909,0.068181818,60,0.326666667,0.650258363
EV1 ,6,1,0.67,6,10,0.7,0.696337206
EV10 ,40,0,0.668,5.236363636,11,0.7,0.673583737
EV11 ,41,34,0.69,0.068181818,60,0.3,0.874118587
EV12 ,44,17,0.67,1.459459459,54,0.7,0.797760695
EV13 ,45,38,0.668,0.6,60,0.408333333,0.811773724
EV14 ,48,54,0.669,1.86,60,0.602777778,0.774231892
EV15 ,51,19,0.67,0.490909091,60,0.427777778,0.896109706
EV16 ,52,15,0.68,3,27,0.7,0.762196402
EV17 ,54,44,0.65,0.514285714,60,0.3,0.808726175
EV19 ,58,43,0.58,0.559585492,60,0.3,0.638818135
EV2 ,9,0,0.668421053,0.126315789,60,0.3,0.613837463
EV21 ,62,0,0.698490566,0.016981132,60,0.311111111,0.685152892
EV3 ,13,0,0.694173228,0.028346457,60,0.3,0.701597587
EV4 ,14,0,0.691428571,0.042857143,60,0.3,0.772494674
EV5 ,15,0,0.694328358,0.053731343,60,0.3,0.613617253
EV6 ,16,0,0.682608696,0.125217391,60,0.3,0.745661015
EV7 ,28,0,0.686,0.072,60,0.3,0.730212538
EV8 ,33,0,0.687692308,0.055384615,60,0.3,0.796103321
EV9 ,35,0,0.657142857,0.642857143,60,0.466666667,0.817400375
