Date,State of charge
2012-01-09 09:02:00,65
2012-01-09 10:46:00,89
2012-01-09 10:47:00,89
2012-01-09 10:59:00,82
2012-01-09 13:23:00,82
2012-01-09 13:25:00,81
2012-01-09 13:41:00,81
2012-01-09 13:46:00,80
2012-01-09 14:38:00,80
2012-01-09 14:53:00,72
2012-01-10 10:29:00,72
2012-01-10 10:33:00,72
2012-01-10 10:53:00,72
2012-01-10 10:53:00,72
2012-01-10 11:00:00,72
2012-01-10 11:03:00,71
2012-01-10 12:38:00,71
2012-01-10 13:03:00,55
2012-01-10 13:07:00,55
2012-01-10 13:13:00,52
2012-01-11 13:06:00,51
2012-01-11 13:06:00,52
2012-01-11 15:15:00,51
2012-01-11 15:23:00,48
2012-01-12 11:31:00,48
2012-01-12 11:33:00,47
2012-01-13 07:48:00,47
2012-01-13 07:49:00,46
2012-01-13 08:00:00,46
2012-01-13 08:01:00,46
2012-01-13 08:02:00,46
2012-01-13 12:17:00,93
2012-01-13 12:20:00,93
2012-01-13 12:32:00,92
2012-01-16 11:35:00,87
2012-01-16 11:37:00,85
2012-01-16 11:43:00,85
2012-01-16 11:44:00,84
2012-01-16 16:47:00,84
2012-01-16 17:14:00,51
2012-01-16 18:13:00,51
2012-01-16 18:17:00,49
2012-01-16 18:54:00,49
2012-01-16 18:58:00,48
2012-01-16 19:00:00,48
2012-01-16 19:04:00,44
2012-01-16 19:25:00,44
2012-01-16 22:35:00,98
2012-01-17 07:10:00,98
2012-01-17 07:37:00,68
2012-01-17 16:34:00,68
2012-01-17 17:07:00,39
2012-01-17 17:39:00,39
2012-01-17 17:53:00,32
2012-01-17 21:09:00,32
2012-01-17 22:49:00,60
2012-01-18 07:44:00,59
2012-01-18 07:53:00,53
2012-01-18 16:01:00,53
2012-01-18 16:08:00,45
2012-01-18 16:21:00,45
2012-01-18 16:27:00,42
2012-01-18 17:41:00,41
2012-01-18 17:49:00,37
2012-01-18 17:50:00,37
2012-01-18 17:53:00,34
2012-01-18 21:09:00,34
2012-01-18 21:14:00,31
2012-01-18 21:14:00,31
2012-01-18 21:17:00,30
2012-01-19 18:08:00,99
2012-01-19 18:15:00,96
2012-01-19 21:20:00,30
