Name,Bus,Arrival Time,soc_i,Power,Departure Time,soc_f,soh_i
EV24 ,78,0,0.668,5.236363636,11,0.7,0.794077665
EV26 ,100,0,0.668,5.236363636,11,0.7,0.609754621
EV28 ,112,1,0.6,4.186046512,44,0.7,0.749640477
EV39 ,151,4,0.68,1.8,24,0.7,0.638905201
EV40 ,152,3,0.662,3.257142857,24,0.7,0.661524393
EV41 ,158,5,0.68,4.5,13,0.7,0.742787238
EV42 ,160,19,0.67,5.4,29,0.7,0.697266303
EV18 ,57,0,0.666,5.563636364,11,0.7,0.632781472
EV20 ,59,0,0.663,5.55,12,0.7,0.76823963
EV22 ,63,1,0.666,5.563636364,12,0.7,0.817393591
EV25 ,93,14,0.685,1.588235294,31,0.7,0.707055511
EV29 ,115,19,0.68,3,31,0.7,0.812656182
EV10 ,40,0,0.668,5.236363636,11,0.7,0.673583737
EV12 ,44,17,0.67,1.459459459,54,0.7,0.797760695
